inventory_id,extension,status,method,conversion_quality,raw_output_path_ignored,sanitized_note
SRC-000539,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000539.txt,docs/00-source-notes/src-000539.md
SRC-000540,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000540.txt,docs/00-source-notes/src-000540.md
SRC-000541,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000541.txt,docs/00-source-notes/src-000541.md
SRC-000542,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000542.txt,docs/00-source-notes/src-000542.md
SRC-000543,.docx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000543.txt,docs/00-source-notes/src-000543.md
SRC-000544,.xlsx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000544.txt,docs/00-source-notes/src-000544.md
SRC-000545,.xlsx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000545.txt,docs/00-source-notes/src-000545.md
SRC-000546,.docx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000546.txt,docs/00-source-notes/src-000546.md
SRC-000547,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000547.txt,docs/00-source-notes/src-000547.md
SRC-000548,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000548.txt,docs/00-source-notes/src-000548.md
SRC-000549,.m4a,not-convertible,metadata-only,not-applicable,,
SRC-000550,.pptx,skipped-temporary-file,metadata-only,not-applicable,,docs/00-source-notes/src-000550.md
SRC-000551,.pptx,skipped-temporary-file,metadata-only,not-applicable,,docs/00-source-notes/src-000551.md
SRC-000552,.xlsx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000552.txt,docs/00-source-notes/src-000552.md
SRC-000553,.docx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000553.txt,docs/00-source-notes/src-000553.md
SRC-000554,.xlsx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000554.txt,docs/00-source-notes/src-000554.md
SRC-000555,.xlsx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000555.txt,docs/00-source-notes/src-000555.md
